trial type mov.direction cursor.rotation selector_angle selector_prop max_vel vmax_x vmax_y final_x final_y movement_overshoot overshoot_answer timestamp
165 active 0 nan nan nan 0.30157099117547476 -0.05754717988692714 0.01992290133860175 -0.0735652126561142 0.0861684047048934 nan nan 1626983114.4833515
166 active 0 nan nan nan 0.4136450847861527 -0.04746849832513725 0.00636725017467854 -0.06936829771163738 0.11257455298219482 nan nan 1626983121.00238
167 active 0 nan nan nan 0.3367926189174585 -0.05683274347787547 0.015846796345410308 -0.08013368622217495 0.09602694512231713 nan nan 1626983126.95667
168 active 0 nan nan nan 0.34573723807091583 -0.05262576460114899 0.025136960425105714 -0.07711079627013302 0.10943545391606613 nan nan 1626983133.4195673
169 active 0 nan nan nan 0.2893639711678585 -0.05924648103115289 0.017128877366259565 -0.08139678519613382 0.10553944600210963 nan nan 1626983139.777202
170 active 0 nan nan nan 0.2513664482934167 -0.05166394359937859 0.02001001607752806 -0.06437483362917122 0.09120534688684812 nan nan 1626983146.208117
171 active 0 nan nan nan 0.3008855912598387 -0.055493373261417435 0.004573473153578145 -0.08196715941424569 0.08160610250238576 nan nan 1626983152.8163736
172 active 0 nan nan nan 0.30359868859080513 -0.05901725180972434 0.020441930706663114 -0.07294920498785401 0.08629670291645253 nan nan 1626983159.2102501
173 active 0 nan nan nan 0.2664967149257488 -0.04911501808987498 -0.004062705503059427 -0.08830738215030724 0.08546012872418995 nan nan 1626983165.4768996
174 active 0 nan nan nan 0.28961033948853654 -0.05881960841011576 0.023160568744262866 -0.08046713240971641 0.09107239656022004 nan nan 1626983172.3528786
175 active 0 nan nan nan 0.2970921804687288 -0.05603863670371244 0.011649061379286896 -0.09404865831853992 0.10231608550390014 nan nan 1626983178.6915097
176 active 0 nan nan nan 0.24098887847994738 -0.06273996261739959 0.013531455098160783 -0.0977498245035208 0.08463814337989284 nan nan 1626983185.1853426
177 active 0 nan nan nan 0.2649486404710217 -0.06431849545521733 0.01266395291303557 -0.0951957844116959 0.08188838246385921 nan nan 1626983192.0638463
178 active 0 nan nan nan 0.24894392117343953 -0.059117812627762514 0.004723388896246128 -0.09219758780053963 0.08509537157312574 nan nan 1626983198.64411
179 active 0 nan nan nan 0.2634610006046565 -0.06353558351222405 0.017277866440224665 -0.0883470916614534 0.09605351798110828 nan nan 1626983205.3736763
